timestamp,omega_x,omega_y,omega_z,alpha_x,alpha_y,alpha_z
1813739077632,-90.2500,-24.0625,34.5625,-3.0700,-1.0200,1.4000
1813719941120,-92.3750,-22.3125,35.5000,-3.1700,-1.0700,1.4100
1813739995136,-91.7500,-19.3750,28.3750,-3.3100,-1.0800,1.2900
1813760049152,-93.9375,-17.9375,24.9375,-3.3700,-0.7700,1.4200
1813779972096,-98.8125,-16.6250,23.6875,-3.2400,-0.7000,1.6600
1813799895040,-103.2500,-15.0000,24.1875,-3.2700,-1.1200,1.3100
1813819031552,-87.9375,-17.1250,20.3750,-3.3500,-1.6400,1.1400
1813838954496,-71.8125,-18.2500,16.8125,-3.3500,-1.6400,1.1400
1813859008512,-73.6250,-16.4375,11.9375,-3.2700,-0.6900,1.7900
1813878931456,-69.2500,-13.3125,11.2500,-3.1800,-1.2700,1.1400
1813898985472,-40.4375,-5.5000,9.8125,-3.2800,-1.1700,0.9100
1813918908416,-28.4375,-2.0000,10.1875,-3.2300,-1.0700,1.1200
1813920088064,-15.1875,2.0000,11.0000,-3.1400,-1.1000,1.2200
1813940011008,2.5000,10.9375,14.1875,-2.8700,-1.1200,1.3100
1813960065024,13.1250,19.1875,21.6875,-2.9500,-1.0600,1.1600
1813979987968,14.2500,32.5000,31.9375,-3.0400,-0.5200,1.2800
1814000041984,4.5625,41.3750,39.0625,-3.1000,-0.7900,1.0200
1814019964928,26.6875,54.0000,42.8750,-3.4100,-0.6600,0.9200
1814040018944,40.9375,58.5625,43.4375,-3.4100,-0.6600,0.9200
1814060072960,57.9375,61.8125,42.8750,-3.4500,-1.0900,1.1300
1814079995904,85.8125,64.0625,40.6875,-3.2600,-1.0600,1.1100
1814099918848,70.6250,61.8750,38.4375,-3.3500,-0.1800,1.4400
1814119972864,37.9375,57.3125,38.6875,-3.3400,-0.6800,0.9800
1814119055360,36.7500,53.4375,33.5000,-3.5700,-0.7100,1.1800
1814138978304,52.8125,51.1250,28.5000,-3.4100,-0.6500,1.0100
1814159032320,66.8750,52.1875,27.3125,-3.3300,-0.6000,0.9300
1814178955264,70.3125,49.8125,25.9375,-3.3900,-0.2900,1.1500
1814199009280,37.8750,43.3750,23.1250,-3.4000,-0.1200,1.2500
1814219980800,23.3125,34.4375,18.4375,-3.5600,-0.3500,1.0900
1814240034816,35.6250,30.5625,15.1875,-3.4500,-0.4900,0.7000
1814259957760,59.8750,31.0625,13.4375,-3.3500,-0.5400,0.7200
1814279880704,65.8125,32.3125,14.1875,-3.3500,-0.1400,0.9300
1814299934720,47.5625,28.6250,14.1875,-3.3700,-0.0200,0.9400
1814318940160,37.8125,24.8125,13.1250,-3.4100,-0.2700,0.2600
1814338994176,43.3125,24.3125,11.3750,-3.4100,-0.2900,0.4700
1814359048192,53.3750,24.1250,11.1875,-3.3400,-0.1800,0.6500
1814378971136,61.8125,26.5000,13.2500,-3.2700,-0.3300,0.6000
1814398894080,69.7500,28.1250,12.5000,-3.2700,-0.1400,0.5800
1814419996672,54.3750,27.0625,10.7500,-3.3700,0.0700,0.6200
1814440050688,54.3750,27.0625,10.7500,-3.3700,0.0700,0.6200
1814460104704,31.6250,23.7500,8.3750,-3.4600,0.0000,0.4300
1814480027648,32.8125,21.6875,6.8750,-3.3700,-0.1700,0.3300
1814499950592,45.6250,21.2500,6.7500,-3.2100,-0.1500,0.3500
1814520004608,55.0000,20.1250,6.1250,-3.1100,0.0300,0.2000
1814540058624,40.0000,17.4375,4.6875,-3.1200,0.1200,0.2400
1814520004608,40.0000,17.4375,4.6875,-3.1200,0.1200,0.2400
1814540058624,22.9375,15.3125,3.4375,-3.2200,0.0200,0.1700
1814560112640,32.9375,13.3750,1.6250,-2.8800,-0.0400,0.2100
1814579904512,32.9375,13.3750,1.6250,-2.8200,-0.0800,0.2200
1814599958528,32.1250,13.1250,2.1875,-2.7700,0.0000,0.2400
1814618963968,21.8750,11.6875,3.6875,-2.6600,0.0000,0.1600
1814639017984,14.3750,10.8125,4.3125,-2.5500,0.0000,0.2000
1814659072000,11.9375,11.0000,4.5625,-2.4700,-0.0400,0.2000
1814678994944,17.5000,9.3125,4.3125,-2.1900,-0.0300,0.1100
1814698917888,24.0625,7.3750,6.1875,-2.0000,-0.0900,0.0300
1814718971904,26.5625,4.9375,8.7500,-1.9300,0.0400,0.0400
1814720020480,20.0625,5.9375,10.0625,-2.0400,0.0100,0.0200
1814739943424,10.5000,7.5625,11.7500,-1.9500,0.1600,0.0600
1814759997440,8.3125,6.5625,11.6250,-1.7800,-0.0600,-0.1400
1814779920384,14.2500,5.5000,12.8125,-1.7400,-0.0600,-0.0200
1814799974400,22.1875,5.8125,14.7500,-1.6000,0.0400,0.0600
1814818979840,11.4375,7.1250,15.4375,-1.7700,0.3300,0.0100
1814839033856,2.3750,8.8750,14.5000,-1.7800,0.2800,-0.2100
1814858956800,3.4375,7.9375,13.7500,-1.6500,0.0000,-0.0300
1814878879744,10.0000,5.6250,14.8125,-1.5800,-0.0600,-0.0300
1814898933760,20.1875,3.7500,16.5000,-1.3700,-0.0600,-0.1000
1814918987776,14.6250,3.8125,16.1250,-1.5500,0.2500,0.0700
1814920036352,14.6250,3.8125,16.1250,-1.6100,0.3100,-0.0200
1814940090368,-3.6250,4.1250,15.0625,-1.3600,0.1300,-0.2300
1814960144384,-10.8750,3.5625,15.9375,-1.2700,0.0800,-0.3000
1814979936256,1.6875,4.3125,16.8750,-1.2600,-0.2100,-0.1300
1814999990272,15.8750,6.2500,16.3750,-1.2600,0.0100,0.0000
1815020044288,15.1875,6.7500,18.0000,-1.2500,0.3200,-0.0600
1815040098304,5.6875,5.3750,18.2500,-1.3400,-0.1400,0.0300
1815060021248,-6.1250,3.3750,17.1875,-1.2600,0.1900,-0.1300
